Demand Level,Scenario,Resource Level,Trial,Percent Abandoned,Ambulance Utilisation,RRV Utilisation,Mean Response Time,Percent Response < 8,Percent Response < 15,Percent Response < 60,Percent Response within Target,Overall Survival
34,noRRV,79,1,0.03711781574376994,0.553653418218298,,0.01725989541792394,0.011661073825503356,0.2123741610738255,0.979991610738255,0.46875,0.4696931268922433
34,noRRV,79,2,0.036085140242689474,0.5618200983808783,,0.01728931719909604,0.011144130757800892,0.2092207363381212,0.9791976225854383,0.4673105497771174,0.46811496001534725
34,noRRV,79,3,0.039649332536361825,0.5573872684276525,,0.017243751204651374,0.011161825726141078,0.21224066390041493,0.9793775933609958,0.4612863070539419,0.462100779427467
34,noRRV,79,4,0.03698040320309042,0.5549897377419671,,0.017149736006481862,0.011908741434063178,0.21536018719705832,0.9801938826675581,0.4696640481363864,0.47015944772747825
34,noRRV,79,5,0.04307704390167282,0.5632689424651507,,0.017333098398468066,0.010546185727768886,0.20944642783864748,0.9792769502236448,0.45426566539455865,0.4566048580072627
34,noRRV,79,6,0.043960852959898156,0.5573270071194633,,0.01732697768125787,0.012650326661395697,0.21347426241105238,0.9794016062585826,0.46593982772252507,0.46711546001727605
34,noRRV,79,7,0.03240759565730086,0.5512636542799236,,0.017104069269760526,0.011682635737098672,0.20927887039838627,0.9811733064380568,0.46095982518070266,0.4615177554755361
34,noRRV,79,8,0.03683562894454809,0.5615474814586435,,0.01733332965425592,0.01030290541932825,0.20609932000824233,0.9793941891613435,0.45716051926643314,0.45821697152860047
34,noRRV,79,9,0.03512280982478598,0.5596189379191571,,0.01724038719716537,0.011898839137645108,0.21243781094527364,0.9801824212271973,0.4659203980099503,0.46669323030208654
34,noRRV,79,10,0.034079844206426485,0.5521490383845175,,0.017125083906612402,0.011130712365591398,0.2124915994623656,0.9807627688172043,0.4676159274193548,0.468532719218788
34,noRRV,79,11,0.039540303785260786,0.5538121387605716,,0.017137072488460574,0.012216550916241319,0.21517027863777088,0.9809639360722952,0.4667391850054389,0.46741639679763397
34,noRRV,80,0,0.03401196642974742,0.5504843501521635,,0.017145592397899173,0.011764216827402727,0.22206518124376454,0.9803375457266379,0.4677835051546392,0.46843841810448344
34,noRRV,80,1,0.032513429459994345,0.5480720258916761,,0.016924073287125037,0.012190030892544043,0.2261000250480087,0.9831343408199048,0.47870919261918676,0.47960415110260435
34,noRRV,80,2,0.03242490551024468,0.5560042693744803,,0.01702924058853336,0.012335526315789474,0.22064144736842106,0.9814555921052631,0.4743421052631579,0.4750596001622796
34,noRRV,80,3,0.03586371787208607,0.5526063439510812,,0.01699518159863933,0.011944616656333954,0.2221533374664187,0.9834676586071502,0.4699731349452366,0.47090486382900465
34,noRRV,80,4,0.03215162367711561,0.5487092165825674,,0.016877366014914554,0.013179777149509396,0.22077166140029936,0.9827872941959088,0.47139531016131714,0.4719747950641603
34,noRRV,80,5,0.04028901280138224,0.5575915712890136,,0.01711239724936668,0.012684124386252046,0.2215630114566285,0.9806055646481179,0.46284779050736496,0.46485755357014585
34,noRRV,80,6,0.03966422660725653,0.5514804122465875,,0.017018682040113906,0.012842288412941712,0.2252785948050872,0.9814822486432744,0.47446041675297235,0.4755832604695854
34,noRRV,80,7,0.02887000365957793,0.5455265036996675,,0.016822771556599787,0.01251936523887284,0.22153833270527154,0.9827911066448939,0.4706695138801658,0.4712698947016035
34,noRRV,80,8,0.03362045012503473,0.5552759514540394,,0.01705663574169691,0.012240203729565432,0.21921465538486815,0.9822147375338864,0.4649223691776883,0.4660919582901393
34,noRRV,80,9,0.03236258900712057,0.5527822124449131,,0.016902710056667988,0.01227830832196453,0.22229112406465748,0.9828847823390797,0.47451320848319484,0.47537248503825613
34,noRRV,80,10,0.031523855890944495,0.5452523584739178,,0.01688035205905278,0.011813497549327636,0.22437266976666248,0.9809811067822881,0.4753466549369528,0.4762998903728423
34,noRRV,80,11,0.03399501727879129,0.550762602255043,,0.017111033201588566,0.012728785357737105,0.21975873544093177,0.9799500831946756,0.4690515806988353,0.46977488638100634
34,noRRV,81,0,0.032927759707665746,0.5446586119522798,,0.01699902751182032,0.011584935431632271,0.2254702487231657,0.9807748204127392,0.469708923306897,0.4703151437833162
34,noRRV,81,1,0.028797608950280707,0.5438028597295601,,0.016937990866928813,0.011893870082342177,0.2278965316476753,0.9819512600848374,0.47874906429343755,0.4796550794810465
34,noRRV,81,2,0.029958225581857966,0.5497668851256083,,0.01683997561648335,0.013083422196702485,0.2259453695349028,0.9823230251825117,0.47871380526617996,0.4795421653921439
34,noRRV,81,3,0.03152022315202232,0.5474780818574697,,0.01695344308630095,0.010368663594470046,0.22235023041474655,0.9828423304805793,0.4690174456879526,0.47010398001924364
34,noRRV,81,4,0.030823709307472535,0.5425084236842126,,0.016814017460714207,0.012165248079717667,0.2232925057089475,0.9828939173759601,0.4754826655594769,0.4760895120826823
34,noRRV,81,5,0.03498782690646352,0.5518610720035578,,0.01694550409392602,0.012695829094608342,0.2258799593082401,0.9811190233977619,0.46697863682604274,0.46891398936818546
34,noRRV,81,6,0.036123488224061105,0.5465706943726419,,0.016932425402133734,0.011928347366683176,0.22486379395740466,0.9816740960871718,0.4744923229321446,0.47557432390985344
34,noRRV,81,7,0.02651160899442931,0.5404121680316425,,0.016755501362120218,0.012029572699553069,0.2217952466480097,0.9857148824192807,0.4708241092686187,0.47141915912857785
